"GSM","Risk_score","Risk"
"GSM437231",2.71396517346325,"MRS-high"
"GSM437232",2.516807142112,"MRS-low"
"GSM437233",2.73453135447983,"MRS-high"
"GSM437234",3.01371579396078,"MRS-high"
"GSM437235",2.82629617775094,"MRS-high"
"GSM437236",3.145962642733,"MRS-high"
"GSM437237",2.6787033802443,"MRS-low"
"GSM437238",2.47663985097586,"MRS-low"
"GSM437239",2.88994477996083,"MRS-high"
"GSM437240",2.78310299040237,"MRS-high"
"GSM437241",2.88309464380586,"MRS-high"
"GSM437242",3.08487850987783,"MRS-high"
"GSM437243",2.91821847084013,"MRS-high"
"GSM437244",2.81937807104525,"MRS-high"
"GSM437245",3.10039832758407,"MRS-high"
"GSM437246",2.91740766070552,"MRS-high"
"GSM437247",3.00445974539539,"MRS-high"
"GSM437248",2.68193411915891,"MRS-low"
"GSM437249",2.63261592067642,"MRS-low"
"GSM437250",3.22208061803444,"MRS-high"
"GSM437251",2.65709292254055,"MRS-low"
"GSM437252",2.62617262113783,"MRS-low"
"GSM437253",3.1913730264358,"MRS-high"
"GSM437254",2.76773510045218,"MRS-high"
"GSM437255",2.54781680493673,"MRS-low"
"GSM437256",2.43388498692912,"MRS-low"
"GSM437257",2.70781507784659,"MRS-high"
"GSM437258",3.03002184646298,"MRS-high"
"GSM437259",2.74756625979082,"MRS-high"
"GSM437260",2.99166742523438,"MRS-high"
"GSM437261",2.68036996420125,"MRS-low"
"GSM437262",2.64943094071219,"MRS-low"
"GSM437263",3.01254968286391,"MRS-high"
"GSM437264",2.93391965767955,"MRS-high"
"GSM437265",2.81143448978818,"MRS-high"
"GSM437266",2.49006934542702,"MRS-low"
"GSM437267",2.88913450554478,"MRS-high"
"GSM437268",2.80169461637269,"MRS-high"
"GSM437269",2.6028064447257,"MRS-low"
"GSM437286",2.89627871613423,"MRS-high"
"GSM437290",2.88692895491955,"MRS-high"
"GSM437292",2.45945085437033,"MRS-low"
"GSM437293",2.73829973588282,"MRS-high"
"GSM437295",2.83541152679824,"MRS-high"
"GSM437301",3.13316182379189,"MRS-high"
"GSM437302",2.60183500540378,"MRS-low"
"GSM437304",2.61007509589756,"MRS-low"
"GSM437305",2.57146662259578,"MRS-low"
"GSM437308",2.89046823419507,"MRS-high"
"GSM437316",3.20017079005195,"MRS-high"
"GSM437317",3.09695874819535,"MRS-high"
"GSM437318",2.96853584106836,"MRS-high"
"GSM437319",3.04182733920198,"MRS-high"
"GSM437320",2.83916826500165,"MRS-high"
"GSM437321",2.67618236581551,"MRS-low"
"GSM437322",2.64899802874073,"MRS-low"
